"","DU.PAGE.Class","DU.PAGE.fieldacres","DU.PAGE.Commodity","DU.PAGE.Bin","DU.PAGE.Year","DU.PAGE.year","DU.PAGE.threshold","DU.PAGE.NASSacres","DU.PAGE.County"
"1",1,520.575592820355,"CORN","Corn",2008,2008,14,3594,"DU PAGE"
"2",5,177.273095689576,"SOYBEANS","Soy",2008,2008,14,1724,"DU PAGE"
"3",1,511.302257374628,"CORN","Corn",2008,2008,13,3594,"DU PAGE"
"4",5,407.88934377344,"SOYBEANS","Soy",2008,2008,13,1724,"DU PAGE"
"5",1,513.172947829438,"CORN","Corn",2008,2008,12,3594,"DU PAGE"
"6",5,410.09224210579,"SOYBEANS","Soy",2008,2008,12,1724,"DU PAGE"
"7",1,516.490440170741,"CORN","Corn",2008,2008,11,3594,"DU PAGE"
"8",5,447.174629644417,"SOYBEANS","Soy",2008,2008,11,1724,"DU PAGE"
"9",1,530.103519624559,"CORN","Corn",2008,2008,10,3594,"DU PAGE"
"10",5,486.790669931701,"SOYBEANS","Soy",2008,2008,10,1724,"DU PAGE"
"11",1,548.125829332207,"CORN","Corn",2008,2008,9,3594,"DU PAGE"
"12",5,523.724143798702,"SOYBEANS","Soy",2008,2008,9,1724,"DU PAGE"
"13",1,565.232100625016,"CORN","Corn",2008,2008,8,3594,"DU PAGE"
"14",5,537.889815639622,"SOYBEANS","Soy",2008,2008,8,1724,"DU PAGE"
"15",1,560.148683742946,"CORN","Corn",2008,2008,7,3594,"DU PAGE"
"16",5,543.924614703726,"SOYBEANS","Soy",2008,2008,7,1724,"DU PAGE"
"17",1,581.03546067245,"CORN","Corn",2008,2008,6,3594,"DU PAGE"
"18",5,588.315706611621,"SOYBEANS","Soy",2008,2008,6,1724,"DU PAGE"
"19",1,583.628695980784,"CORN","Corn",2008,2008,5,3594,"DU PAGE"
"20",5,635.262996733826,"SOYBEANS","Soy",2008,2008,5,1724,"DU PAGE"
"21",1,624.273084237214,"CORN","Corn",2008,2008,4,3594,"DU PAGE"
"22",5,764.792320084365,"SOYBEANS","Soy",2008,2008,4,1724,"DU PAGE"
"23",1,863.647656424468,"CORN","Corn",2008,2008,3,3594,"DU PAGE"
"24",5,869.800261922562,"SOYBEANS","Soy",2008,2008,3,1724,"DU PAGE"
"25",1,858.795868294714,"CORN","Corn",2008,2008,2,3594,"DU PAGE"
"26",5,916.163051922898,"SOYBEANS","Soy",2008,2008,2,1724,"DU PAGE"
"27",1,1025.03684521767,"CORN","Corn",2008,2008,1,3594,"DU PAGE"
"28",5,933.478001699012,"SOYBEANS","Soy",2008,2008,1,1724,"DU PAGE"
"123",5,26.0742633250879,"SOYBEANS","Soy",2012,2012,14,1914,"DU PAGE"
"125",5,210.523863385336,"SOYBEANS","Soy",2012,2012,13,1914,"DU PAGE"
"127",5,212.779742604257,"SOYBEANS","Soy",2012,2012,12,1914,"DU PAGE"
"129",5,245.676139619669,"SOYBEANS","Soy",2012,2012,11,1914,"DU PAGE"
"131",5,266.406378668748,"SOYBEANS","Soy",2012,2012,10,1914,"DU PAGE"
"133",5,282.228663242954,"SOYBEANS","Soy",2012,2012,9,1914,"DU PAGE"
"135",5,290.838024567427,"SOYBEANS","Soy",2012,2012,8,1914,"DU PAGE"
"137",5,297.678046916262,"SOYBEANS","Soy",2012,2012,7,1914,"DU PAGE"
"139",5,280.251068685877,"SOYBEANS","Soy",2012,2012,6,1914,"DU PAGE"
"141",5,298.364908022066,"SOYBEANS","Soy",2012,2012,5,1914,"DU PAGE"
"143",5,363.54062853303,"SOYBEANS","Soy",2012,2012,4,1914,"DU PAGE"
"145",5,532.693936391487,"SOYBEANS","Soy",2012,2012,3,1914,"DU PAGE"
"147",5,530.024870132994,"SOYBEANS","Soy",2012,2012,2,1914,"DU PAGE"
"149",5,596.846315795809,"SOYBEANS","Soy",2012,2012,1,1914,"DU PAGE"
"287",5,351.378132921002,"SOYBEANS","Soy",2017,2017,14,423,"DU PAGE"
"289",5,493.341593094911,"SOYBEANS","Soy",2017,2017,13,423,"DU PAGE"
"290",37,12.7069636379852,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,13,24,"DU PAGE"
"292",5,494.018706614307,"SOYBEANS","Soy",2017,2017,12,423,"DU PAGE"
"293",37,12.7069636379852,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,12,24,"DU PAGE"
"295",5,498.008196207005,"SOYBEANS","Soy",2017,2017,11,423,"DU PAGE"
"297",5,508.596784483732,"SOYBEANS","Soy",2017,2017,10,423,"DU PAGE"
"298",37,14.8726272104095,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,10,24,"DU PAGE"
"300",5,543.770495327292,"SOYBEANS","Soy",2017,2017,9,423,"DU PAGE"
"301",37,15.1660710641943,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,9,24,"DU PAGE"
"303",5,553.996510437289,"SOYBEANS","Soy",2017,2017,8,423,"DU PAGE"
"304",37,14.4745949889716,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,8,24,"DU PAGE"
"306",5,552.124447723231,"SOYBEANS","Soy",2017,2017,7,423,"DU PAGE"
"307",37,16.8437365281323,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,7,24,"DU PAGE"
"309",5,587.051258954723,"SOYBEANS","Soy",2017,2017,6,423,"DU PAGE"
"311",5,604.392891998673,"SOYBEANS","Soy",2017,2017,5,423,"DU PAGE"
"313",5,640.034852097111,"SOYBEANS","Soy",2017,2017,4,423,"DU PAGE"
"314",37,14.9679469687415,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,4,24,"DU PAGE"
"316",5,902.292830698635,"SOYBEANS","Soy",2017,2017,3,423,"DU PAGE"
"317",37,18.0166989581689,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,3,24,"DU PAGE"
"319",5,829.363881026495,"SOYBEANS","Soy",2017,2017,2,423,"DU PAGE"
"320",37,33.3641664184418,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,2,24,"DU PAGE"
"322",5,990.171214433206,"SOYBEANS","Soy",2017,2017,1,423,"DU PAGE"
"323",36,13.6161833182459,"ALFALFA","Alfalfa",2017,2017,1,16,"DU PAGE"
"324",37,32.8039608927966,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,1,24,"DU PAGE"
