"","ROCK.Class","ROCK.fieldacres","ROCK.Commodity","ROCK.Bin","ROCK.Year","ROCK.year","ROCK.threshold","ROCK.NASSacres","ROCK.County"
"1",1,520.575592820355,"CORN","Corn",2008,2008,14,3594,"ROCK"
"2",5,177.273095689576,"SOYBEANS","Soy",2008,2008,14,1724,"ROCK"
"3",1,511.302257374628,"CORN","Corn",2008,2008,13,3594,"ROCK"
"4",5,407.88934377344,"SOYBEANS","Soy",2008,2008,13,1724,"ROCK"
"5",1,513.172947829438,"CORN","Corn",2008,2008,12,3594,"ROCK"
"6",5,410.09224210579,"SOYBEANS","Soy",2008,2008,12,1724,"ROCK"
"7",1,516.490440170741,"CORN","Corn",2008,2008,11,3594,"ROCK"
"8",5,447.174629644417,"SOYBEANS","Soy",2008,2008,11,1724,"ROCK"
"9",1,530.103519624559,"CORN","Corn",2008,2008,10,3594,"ROCK"
"10",5,486.790669931701,"SOYBEANS","Soy",2008,2008,10,1724,"ROCK"
"11",1,548.125829332207,"CORN","Corn",2008,2008,9,3594,"ROCK"
"12",5,523.724143798702,"SOYBEANS","Soy",2008,2008,9,1724,"ROCK"
"13",1,565.232100625016,"CORN","Corn",2008,2008,8,3594,"ROCK"
"14",5,537.889815639622,"SOYBEANS","Soy",2008,2008,8,1724,"ROCK"
"15",1,560.148683742946,"CORN","Corn",2008,2008,7,3594,"ROCK"
"16",5,543.924614703726,"SOYBEANS","Soy",2008,2008,7,1724,"ROCK"
"17",1,581.03546067245,"CORN","Corn",2008,2008,6,3594,"ROCK"
"18",5,588.315706611621,"SOYBEANS","Soy",2008,2008,6,1724,"ROCK"
"19",1,583.628695980784,"CORN","Corn",2008,2008,5,3594,"ROCK"
"20",5,635.262996733826,"SOYBEANS","Soy",2008,2008,5,1724,"ROCK"
"21",1,624.273084237214,"CORN","Corn",2008,2008,4,3594,"ROCK"
"22",5,764.792320084365,"SOYBEANS","Soy",2008,2008,4,1724,"ROCK"
"23",1,863.647656424468,"CORN","Corn",2008,2008,3,3594,"ROCK"
"24",5,869.800261922562,"SOYBEANS","Soy",2008,2008,3,1724,"ROCK"
"25",1,858.795868294714,"CORN","Corn",2008,2008,2,3594,"ROCK"
"26",5,916.163051922898,"SOYBEANS","Soy",2008,2008,2,1724,"ROCK"
"27",1,1025.03684521767,"CORN","Corn",2008,2008,1,3594,"ROCK"
"28",5,933.478001699012,"SOYBEANS","Soy",2008,2008,1,1724,"ROCK"
"29",36,13.6161833182459,"HAY","Alfalfa",2008,2008,1,136,"ROCK"
"30",1,224.314963681993,"CORN","Corn",2009,2009,14,2900,"ROCK"
"32",1,529.383201310155,"CORN","Corn",2009,2009,13,2900,"ROCK"
"34",1,531.639080529075,"CORN","Corn",2009,2009,12,2900,"ROCK"
"36",1,565.113406579732,"CORN","Corn",2009,2009,11,2900,"ROCK"
"38",1,612.983856337798,"CORN","Corn",2009,2009,10,2900,"ROCK"
"40",1,628.207084338931,"CORN","Corn",2009,2009,9,2900,"ROCK"
"42",1,645.733973497524,"CORN","Corn",2009,2009,8,2900,"ROCK"
"44",1,649.709231778763,"CORN","Corn",2009,2009,7,2900,"ROCK"
"46",1,672.653316285728,"CORN","Corn",2009,2009,6,2900,"ROCK"
"48",1,701.743513781864,"CORN","Corn",2009,2009,5,2900,"ROCK"
"50",1,743.228745484642,"CORN","Corn",2009,2009,4,2900,"ROCK"
"53",1,848.601387245565,"CORN","Corn",2009,2009,3,2900,"ROCK"
"56",1,930.299514848808,"CORN","Corn",2009,2009,2,2900,"ROCK"
"58",1,947.232058265525,"CORN","Corn",2009,2009,1,2900,"ROCK"
"123",5,26.0742633250879,"SOYBEANS","Soy",2012,2012,14,1914,"ROCK"
"125",5,210.523863385336,"SOYBEANS","Soy",2012,2012,13,1914,"ROCK"
"127",5,212.779742604257,"SOYBEANS","Soy",2012,2012,12,1914,"ROCK"
"129",5,245.676139619669,"SOYBEANS","Soy",2012,2012,11,1914,"ROCK"
"131",5,266.406378668748,"SOYBEANS","Soy",2012,2012,10,1914,"ROCK"
"133",5,282.228663242954,"SOYBEANS","Soy",2012,2012,9,1914,"ROCK"
"135",5,290.838024567427,"SOYBEANS","Soy",2012,2012,8,1914,"ROCK"
"137",5,297.678046916262,"SOYBEANS","Soy",2012,2012,7,1914,"ROCK"
"139",5,280.251068685877,"SOYBEANS","Soy",2012,2012,6,1914,"ROCK"
"141",5,298.364908022066,"SOYBEANS","Soy",2012,2012,5,1914,"ROCK"
"143",5,363.54062853303,"SOYBEANS","Soy",2012,2012,4,1914,"ROCK"
"145",5,532.693936391487,"SOYBEANS","Soy",2012,2012,3,1914,"ROCK"
"147",5,530.024870132994,"SOYBEANS","Soy",2012,2012,2,1914,"ROCK"
"149",5,596.846315795809,"SOYBEANS","Soy",2012,2012,1,1914,"ROCK"
"150",36,13.6161833182459,"HAY","Alfalfa",2012,2012,1,170,"ROCK"
"287",5,351.378132921002,"SOYBEANS","Soy",2017,2017,14,423,"ROCK"
"289",5,493.341593094911,"SOYBEANS","Soy",2017,2017,13,423,"ROCK"
"291",5,494.018706614307,"SOYBEANS","Soy",2017,2017,12,423,"ROCK"
"293",5,498.008196207005,"SOYBEANS","Soy",2017,2017,11,423,"ROCK"
"295",5,508.596784483732,"SOYBEANS","Soy",2017,2017,10,423,"ROCK"
"297",5,543.770495327292,"SOYBEANS","Soy",2017,2017,9,423,"ROCK"
"299",5,553.996510437289,"SOYBEANS","Soy",2017,2017,8,423,"ROCK"
"301",5,552.124447723231,"SOYBEANS","Soy",2017,2017,7,423,"ROCK"
"303",5,587.051258954723,"SOYBEANS","Soy",2017,2017,6,423,"ROCK"
"305",5,604.392891998673,"SOYBEANS","Soy",2017,2017,5,423,"ROCK"
"307",5,640.034852097111,"SOYBEANS","Soy",2017,2017,4,423,"ROCK"
"309",5,902.292830698635,"SOYBEANS","Soy",2017,2017,3,423,"ROCK"
"311",5,829.363881026495,"SOYBEANS","Soy",2017,2017,2,423,"ROCK"
"313",5,990.171214433206,"SOYBEANS","Soy",2017,2017,1,423,"ROCK"
"314",36,46.4201442110425,"HAY","Alfalfa",2017,2017,1,80,"ROCK"
